RegionID,SizeRank,RegionName,RegionType,StateName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20
102001,0,United States,Country,,107101,107128,107178,107304,107446,107615,107782,107994,108210,108466,108717,108988,109173,109407,109658,109984,110314,110624,110958,111255,111569,111849,112201,112588,113164,113695,114205,114550,114923,115305,115717,116182,116706,117268,117751,118180,118549,119025,119553,120177,120773,121449,122137,122763,123325,123883,124550,125250,125976,126693,127416,128154,128892,129607,130322,131081,131878,132682,133504,134358,135203,135989,136768,137558,138356,139128,139883,140648,141419,142204,142959,143699,144438,145211,146001,146788,147587,148427,149311,150213,151110,152032,152987,153975,154947,155903,156843,157788,158741,159668,160605,161603,162691,163831,164971,166107,167311,168619,170012,171409,172887,174437,176080,177695,179304,180896,182511,184199,185933,187671,189379,191169,192976,194861,196767,198696,200621,202441,204181,205750,207152,208425,209664,210838,211920,212817,213516,214040,214358,214587,214730,214812,214878,214894,214855,214723,214409,213947,213329,212734,212027,211233,210253,209223,208021,206588,204966,203214,201504,199777,198062,196209,194434,192648,190809,188904,187052,185499,184003,182546,181119,179896,178950,178162,177485,176956,176739,176642,176577,176379,176230,176195,176115,175831,175144,174321,173372,172440,171402,170429,169458,168540,167574,166541,165510,164618,164002,163552,163219,162854,162530,162214,162004,161875,161949,162185,162574,162988,163453,163973,164571,165265,166064,166936,167912,168939,170071,171250,172493,173791,175124,176462,177758,178985,180090,181113,182070,182993,183723,184324,184866,185466,186055,186568,187071,187660,188377,189129,189850,190591,191455,192352,193260,194067,194868,195722,196607,197471,198253,199115,200054,201018,201871,202761,203665,204648,205652,206670,207693,208723,209825,210899,211954,212984,214093,215252,216411,217575,218695,219836,221022,222269,223546,224801,225996,227219,228435,229658,230880,232055,233205,234256,235241,236158,237044,237907,238739,239451,240034,240574,241278,242086,242952,243727,244521,245326,246113,246917,247766,248688,249695,250713,251598
394913,1,"New York, NY",Msa,NY,189591,189148,188867,188329,188008,187715,187536,187443,187488,187613,187738,187886,188163,188778,189500,190176,190678,191305,191933,192560,193080,193594,194320,195150,196058,196664,197137,197560,198100,198683,199260,200065,201071,202304,203400,204557,205517,206703,207962,209580,211341,213194,215284,217128,218940,220549,222404,224326,226395,228647,231075,233491,235807,238130,240504,242904,245316,247711,250155,252550,254933,257428,259880,262448,264951,267505,269904,272324,274805,277607,280417,283228,286076,288784,291386,294009,296760,299769,302894,306598,310530,314475,318244,322175,326081,330096,334307,338318,342205,345820,349502,352891,355966,358887,361982,365173,368777,372369,376122,379683,383651,387811,392381,396934,401716,406531,411405,415980,420378,424554,428753,433589,438482,443322,447824,452510,457401,462433,467125,471783,475751,479547,482189,484429,486179,488119,489459,489847,489404,488012,486471,484687,483085,481746,481485,480900,480445,478740,477073,475365,473612,472460,471151,469691,468245,466370,463860,461193,457536,454393,451028,448252,445280,441912,438337,434892,431008,427136,423476,420016,417377,414491,411960,409278,407478,406345,405877,405645,405563,405627,405154,404941,404498,404915,405181,405305,404691,403472,401895,399991,398595,397302,396542,395115,393557,391358,389471,387781,386347,385032,383564,382333,380957,379606,378323,377386,376840,376648,376474,376384,376351,376455,376968,377699,378420,379312,380231,381682,383269,384899,386644,388389,390274,392312,394287,396023,397930,399607,401461,402739,403963,404989,405897,406831,407669,408421,408878,409661,410460,411625,412365,413346,414152,415266,416202,417082,417999,418955,420419,421563,422335,422959,423801,425121,426192,427243,428363,429687,431065,432545,433982,435613,437560,439208,441006,442280,444522,446795,449592,452100,454440,456484,458260,459970,462021,464446,466931,469349,471246,472943,474045,475261,476825,478733,480588,481844,482406,482633,482840,483082,483439,483852,484498,484926,485102,485082,485166,485643,486356,487143,487808,488515,489137
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,186122,186381,186401,186510,186483,186510,186611,186563,186449,186351,186329,186455,186123,185553,185220,185424,185950,186430,187054,187957,188975,189952,190863,191891,193594,195706,197678,199142,200509,201808,202827,204181,205870,207759,209586,211042,212788,214330,215996,217464,218949,220986,223184,224691,225827,227140,229067,231072,232768,234458,236396,238627,240957,243117,245246,247612,249974,252220,254339,256627,258821,261148,263341,265868,268148,270418,272390,274535,276829,279520,282042,284751,287526,290674,294001,297544,301112,305252,310046,315133,320092,325089,330564,336064,341075,345570,350106,354547,359412,363587,368897,374828,381677,387824,394912,402017,410498,419112,428289,438233,449424,461052,470948,479217,487375,495737,502802,509855,516424,524384,532290,539987,546299,552638,560883,569850,579499,588581,596067,603096,608924,614092,618592,622499,627113,630342,631643,632822,631199,630562,629225,629144,628443,627232,625398,624005,621137,618453,613457,607082,598756,590182,583582,576304,568825,558152,546610,532541,518507,506279,495705,486364,479200,471660,462702,451201,442779,438378,435120,431866,429005,426382,425197,425225,426219,427642,430257,434273,435388,433914,433644,435675,439400,438767,436574,433029,430202,427185,423011,420216,418803,418398,416321,413366,408190,406786,405728,404788,402022,399330,398950,397988,396783,395176,394453,394474,396101,397728,400400,403196,407070,412176,416422,422010,427465,435895,444912,454941,463687,472221,479733,488545,496313,502292,507420,510991,515171,516011,516470,515954,516447,516941,518511,518279,518775,519424,522304,524925,528366,532398,536605,538985,541533,544111,546826,549955,553214,557108,559756,564333,566831,570146,571967,576103,579680,582887,585645,589246,593155,596937,599732,601472,605083,607771,611463,613786,617596,621498,625007,628008,630933,634001,638980,643930,648020,651933,655718,659753,662735,665952,668669,669999,670063,670724,671254,670628,669129,665829,662614,661023,663405,666856,670310,672538,675661,678090,679621,681921,684745,689061,693088,695777,695412
394463,3,"Chicago, IL",Msa,IL,162491,162192,161799,161351,160752,160428,159954,160518,161330,162977,164276,165237,165520,165469,165629,165489,165660,165399,165098,162714,159788,155520,152224,149847,148982,148877,148818,148801,148741,148668,148995,150407,152455,155133,157414,159151,159953,160422,160905,161565,162124,163068,164072,165036,165664,166380,167265,168211,169409,170637,171886,172998,174098,175159,176184,177331,178588,179850,181156,182511,183830,184950,186092,187310,188698,189997,191152,192279,193460,194786,196081,197256,198288,199401,200679,201774,202946,204080,205530,206901,208210,209431,210494,211769,213018,214445,215699,217090,218231,219271,220231,221417,222814,224163,225547,226750,228210,229530,230890,232322,233868,235688,237372,239043,240448,241973,243651,245489,247138,248839,250507,252331,254152,256084,257984,259791,261782,263737,265510,267113,268524,269996,271202,272451,273486,274355,274963,275635,276107,276507,276699,277059,277601,278344,278114,277864,276678,276293,275165,274684,273547,272856,271999,271007,270108,267320,266569,263445,262708,259224,257862,254531,252760,249560,246994,243174,239160,236173,232853,230811,227817,225764,223951,222537,220521,218966,217512,217376,216756,216603,214919,214711,213127,213094,210324,208927,206663,205507,203097,201104,199072,197508,196125,193875,192484,190278,189902,188594,187995,185767,184771,182973,182062,180077,179713,179161,179169,178568,177701,176953,176326,176790,177495,178236,179192,180423,181249,182475,183394,185167,186824,189086,191005,193190,194305,195746,196527,197802,198352,198556,199033,199957,200935,201409,202076,202415,203108,203555,203998,204121,204773,205886,206885,207095,207297,207561,207944,208234,208620,209242,209989,211224,212205,212991,213574,214413,215529,216553,217381,218181,219196,220318,221604,222662,223987,225140,226193,226881,227398,228127,229029,230214,231307,232520,233676,234491,234882,235308,235949,236916,237642,238342,239079,239696,240276,240544,240590,240785,240980,241403,241754,242077,242458,242691,242802,242824,242822,242914,243108,243324,243638,243741,243752
394514,4,"Dallas-Fort Worth, TX",Msa,TX,111430,111493,111653,111972,112315,112562,112738,112958,113179,113514,113842,114171,114229,114321,114348,114515,114608,114802,115030,115281,115576,115913,116196,116549,117000,117447,117808,117916,118139,118386,118772,119120,119481,119405,119404,119317,119903,120673,121657,122606,123409,124243,124990,125508,125846,126529,127358,128156,128468,128795,129039,129281,129460,129631,129819,130114,130561,131016,131418,131804,132042,131871,131691,131595,131776,131796,131868,132080,132301,132452,132493,132639,132847,133268,133628,134119,134572,135269,135965,136563,137045,137481,137986,138521,138766,138783,138568,138485,138569,138816,139064,139294,139595,140014,140442,140762,141490,142840,144810,146393,147275,147614,147924,148390,148835,149324,149734,150236,150984,151223,151221,151029,151251,151673,152096,152511,152869,152815,152957,152939,153191,153663,154105,154556,154943,155369,155631,155705,155823,156458,156861,157294,157288,157222,157195,157336,157568,157744,157900,158265,158782,159111,159238,159252,158595,157580,156311,155455,154741,154225,153912,153444,152656,151700,150805,150133,150000,150325,150755,150840,150792,150559,150483,150379,150527,150682,151249,151558,151603,151374,151147,151273,151173,151128,150429,149719,148783,148097,147220,146744,146410,145859,145253,144343,143805,143160,142992,142996,143223,143299,143198,142877,142706,143141,143689,144303,144684,145190,145779,146301,146768,147191,147823,148536,149410,150030,150839,151705,152759,153816,154954,156079,157374,158669,159963,161122,162029,163021,163853,164694,165486,166443,167149,168171,169072,170305,171473,172759,174268,175714,177370,178978,180658,182315,184062,185580,187016,188358,189858,191521,193072,194633,196140,197835,199671,201417,203364,205036,206761,208382,210190,212042,213679,215386,216861,218550,220134,221773,223206,224648,226331,228193,229953,231442,232824,234453,236230,237877,239232,240612,241820,242995,243727,244727,245751,247163,248404,249188,249543,249764,250254,250759,251331,251954,252727,253181,253581,253765,254155,254716,255554,256471,257309
394974,5,"Philadelphia, PA",Msa,PA,121105,120950,120809,120565,120400,120305,120260,120238,120279,120366,120496,120602,120733,120901,121130,121383,121633,121868,122071,122229,122341,122426,122550,122727,122921,123119,123307,123454,123526,123576,123653,123899,124184,124529,124726,124930,125100,125344,125641,126003,126410,126824,127295,127671,128033,128357,128914,129593,130350,131086,131691,132300,132863,133466,133991,134502,135056,135698,136287,136897,137518,138250,139055,139841,140619,141375,142220,143048,143910,144752,145756,146645,147628,148580,149732,150919,152101,153333,154554,156018,157583,159287,160852,162593,164257,166008,167601,169293,170992,172692,174413,176085,177887,179698,181644,183368,185125,186958,189016,191133,193351,195689,198212,200889,203391,205637,207779,210216,212974,215448,217719,219856,222311,224952,227653,230327,232973,235733,238359,240845,242845,244721,246319,247972,249315,250558,251518,252309,252894,253244,253431,253452,253554,253605,253870,253913,254292,254415,254615,254340,254072,253847,253624,253272,252580,252108,251436,250813,249522,248086,246481,245092,243721,242212,240728,239281,237956,236772,235832,234969,234034,233083,232182,231597,231225,231287,231538,231676,231774,231444,231012,230609,230593,230698,230456,229615,228360,226797,225082,223576,222310,221376,220252,218802,217069,215402,214127,213262,212457,211712,210939,210294,209426,208527,207908,207640,207373,206881,206293,205887,205715,205644,205675,205705,205940,206156,206488,206982,207754,208677,209594,210346,211109,211740,212345,212722,213167,213635,213866,213642,213546,213627,213878,213839,213782,213882,214149,214550,214782,214981,215364,215955,216298,216373,216485,216869,217241,217377,217416,217380,217501,217774,218031,218448,218921,219768,220475,221178,221762,222499,223227,224141,225136,225935,226501,226973,227679,228389,229020,229726,230520,231622,232624,233599,234349,235392,236742,238065,239039,239727,240466,241170,242016,242741,243673,244406,245216,245785,246627,247094,247732,248156,248977,249765,250426,251012,251510,252160,252862,253660,254158,254987,255816
394692,6,"Houston, TX",Msa,TX,109331,109406,109415,109562,109701,109800,109838,109898,110063,110256,110524,110812,110777,110618,110480,110559,110651,110819,111049,111289,111449,111621,111860,112095,112749,113366,114004,114211,114464,114707,115005,115273,115548,115831,115856,115859,115979,116605,117483,118362,119150,119877,120609,121308,121853,122313,122821,123406,123920,124163,124210,124348,124405,124545,124638,124924,125246,125502,125953,126383,126585,126570,126200,126014,125988,126130,126268,126130,126202,126399,126618,126758,126904,127170,127719,128344,128920,129443,129921,130596,131130,131597,131947,132282,132693,132903,132997,133072,133182,133513,133709,134068,134285,134620,134920,135294,135814,136804,138246,139401,140574,141078,142043,142672,143592,144389,145142,145978,146684,147339,147624,147891,147853,148136,148184,148295,148229,148137,148293,148304,148572,148702,149037,149309,149832,150263,150780,151302,151945,152637,153196,153780,154271,154481,154499,154654,155002,155496,155717,156162,156547,156914,157175,157436,157237,156825,156276,155936,155363,154730,154237,153677,153098,152589,151844,150987,150354,150331,150372,150282,150240,150482,150949,151274,151351,151154,151315,151589,151783,151811,152063,152319,152372,151905,150891,149677,148787,148263,148030,147676,147192,146405,145288,144334,143554,143157,142987,143044,143067,143090,142535,142220,142114,142414,142793,142989,143317,143580,144067,144539,144957,145169,145767,146378,147214,148067,149425,151012,152531,153784,154996,156256,157616,159129,160628,162029,163347,164658,165608,166445,167255,168567,170037,171762,173442,174927,176261,177642,178979,180209,181615,183041,184398,185454,186190,186823,187464,188400,189118,189753,190590,191409,191935,192169,192720,193377,194196,194685,195133,195432,196218,197121,197626,198173,198817,199599,200062,200500,200919,201281,201696,202163,202736,203283,203881,204352,204918,205914,206990,207861,208501,209414,210445,211274,211845,212391,213476,214387,214884,214798,214998,215529,216229,216688,217031,217525,218072,218628,218823,219212,219866,220744,221426
395209,7,"Washington, DC",Msa,DC,178672,178449,178318,178043,177924,177772,177608,177500,177522,177658,177717,177785,177567,177441,177263,177360,177312,177387,177535,177658,177600,177508,177576,177657,178054,178425,178912,179091,179281,179390,179503,179689,179987,180190,180352,180636,181156,181926,182665,183401,184074,184857,185654,186365,187184,188105,189259,190301,191339,192249,193161,194065,195129,196274,197637,199126,200672,202351,204024,205961,207829,209680,211608,213746,215975,218147,220222,222357,224541,226771,229186,231621,234132,236510,238986,241573,244363,247261,250270,253447,256538,259618,262607,265709,268730,272044,275362,278581,281456,284328,287144,290045,293160,296911,300933,304859,308651,312934,317474,322353,327474,333302,339963,346900,354027,360290,366303,372332,379126,385486,391767,398552,406201,413827,420719,426978,433342,439744,445210,450060,453967,457773,461312,463522,464815,465042,465004,464391,462127,459514,457559,456321,454999,453460,451945,450771,449007,446210,442954,439615,437242,434133,430262,425159,420443,415422,409717,403270,396037,389684,383604,378339,372953,368085,363525,359237,354250,349676,345452,342018,339800,338429,337670,336790,335782,335276,335437,336331,337605,337953,338680,339475,340799,340828,340308,339416,339100,338476,337053,335672,334717,334963,334564,334087,332806,332350,331690,331457,330848,330384,330418,330333,330178,330139,331100,332263,333519,334867,336619,338225,339499,341150,343179,345668,348296,350393,352222,354041,356592,358975,361328,363834,366964,369702,372019,373498,375032,376506,377700,378668,378742,378782,378923,379092,379212,379148,379226,379346,379084,379566,380327,380775,381020,381302,381786,382075,382191,382708,383132,383874,384464,384224,384193,384959,386813,388186,389212,389991,391227,392184,393259,394613,396542,398885,400226,401029,400974,401731,402740,404409,405769,407254,408768,409619,410249,410734,412102,413639,415599,417265,418899,419699,420246,420628,421015,422200,423688,425399,426553,427161,427868,428610,429465,430612,432023,433561,435081,436265,437231,438067,439144,440694,442151
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,111503,111635,111776,112027,112246,112560,112876,113142,113254,113368,113530,113735,113644,113630,113637,113977,114277,114511,114723,114954,115208,115387,115563,115783,116560,117201,117755,117769,117901,117745,117665,117723,118343,119090,119664,120030,120090,120210,120344,120699,121108,121986,122778,123475,123565,123687,123986,124394,124939,125575,126385,127236,127924,128530,129123,129714,130478,131243,132178,133190,134235,135321,136533,137812,139278,140721,142371,144108,146028,148031,149882,151569,153138,154685,156098,157593,159079,160723,162404,164242,165954,167675,169396,171601,173828,176200,178533,180944,183185,185189,187055,188943,191101,193405,195986,198258,200914,203445,206165,208676,211634,214902,218414,222169,226049,230185,234296,238873,243259,248099,253028,258057,263357,268983,275459,281802,288061,293690,298816,303464,308308,312496,317169,322300,327077,330831,332996,334580,335589,335856,336547,336413,336235,335289,333694,330766,327371,323385,319488,315499,311450,307910,303208,298537,292284,286288,279514,273424,267265,261635,255480,248868,241981,234919,228377,222461,217076,212030,206963,202281,197765,194156,191072,188631,186426,184989,183724,182281,181331,180629,180452,179800,179094,177745,176546,175104,173808,171954,170352,169001,167545,166207,164860,163975,163029,162215,161410,160874,160475,160457,160578,160710,160951,160967,161263,161627,162497,163756,165000,166518,168116,169802,171148,172613,174517,177058,179791,182890,185742,188275,190908,193629,196535,199244,202623,205813,208802,210787,212800,214017,215670,217122,219055,220535,221862,223399,224248,225444,226368,228123,229463,231081,232350,233841,234926,236283,237944,239488,241392,242987,244888,246457,248036,249662,251318,253359,255397,257158,258516,259843,261422,263092,264651,266037,267169,268613,269998,271315,272518,274294,276057,277953,278819,280017,280796,282414,284268,285861,287636,288762,290242,291279,292338,292950,294475,295915,297377,297139,297312,297636,298167,298601,298951,299419,299957,300799,301400,301913,302656,304378,305760,307145,308358
394347,9,"Atlanta, GA",Msa,GA,120582,120811,121033,121523,122006,122531,122998,123461,123899,124374,124863,125389,125736,126124,126538,127108,127639,128079,128575,129158,129811,130438,130974,131525,132404,133273,134064,134515,135092,135742,136456,137092,137712,138342,139133,139859,140531,141170,141955,142836,143682,144571,145507,146394,147287,148151,149037,149898,150688,151560,152489,153566,154612,155636,156602,157642,158677,159766,160746,161806,162797,163740,164562,165319,166133,166896,167680,168433,169176,169864,170551,171215,171878,172546,173132,173715,174204,174713,175155,175547,175936,176346,176767,177092,177457,177772,178185,178469,178769,179055,179371,179715,180032,180327,180635,181011,181309,181633,181955,182436,182852,183194,183547,184002,184505,185030,185498,185961,186487,187054,187616,188147,188772,189452,190035,190580,191183,191854,192592,193240,193962,194579,195118,195511,195859,196305,196859,197378,197818,198166,198560,199027,199522,199995,200516,200875,201094,201041,200882,200544,200003,199376,198677,198139,197178,196010,194456,193212,191986,190669,189092,187384,185774,183991,181721,178740,175925,173299,171018,168386,165928,163825,162474,161400,160405,159226,158396,158028,157600,157026,156327,156136,156054,155649,154179,152169,149746,147766,145814,144338,142740,141433,139593,137609,135180,133036,131496,130853,130954,131040,130860,129973,129428,128898,129389,129968,130902,131845,132853,133359,133356,133507,134373,135677,137228,138921,140651,142295,144099,146005,147918,150101,152489,154827,156727,158667,160248,161702,162694,163714,164549,165300,166274,167122,168028,168796,169638,170437,171249,172020,172692,173490,174534,175767,176728,177716,178681,179601,180476,181216,182284,183337,184756,186127,187316,188140,188855,189681,190388,191448,192599,194088,195169,196379,197486,198693,199949,201457,203083,204469,206090,207578,209274,210934,212866,214700,216158,217528,218994,220705,222403,224046,225602,227221,228685,229837,230712,231465,232581,233736,234951,235742,236536,237437,238296,239082,239844,240777,241842,242998,244054,245079,245983
